,Up,Down,Name,Number,CooccurrenceProbability
533,DeiUP,m9POHP,w-1-oxo,0,0
534,DeiUP,mPHHP,mOH,0,0
535,DeiUP,m1POHP,moxo,0,0
536,DeiUP,mCNP,w-COOH,0,0
537,DeiUP,mCPP,w-ab,0,0
538,DeiUP,miUP,mono,0,0
539,DeiUP,mHiUP,w-1-OH,0,0
540,DeiUP,109CMP,w-COOH,0,0
541,iDUP,miDP,mono,0,0
542,iDUP,mHiDP,w-1-OH,0,0
543,iDUP,mCiNP,w-COOH,0,0
544,iDUP,mCPP,w-ab,0,0
545,iDUP,mUP,mono,0,0
546,iDUP,mHUP,w-1-OH,0,0
547,iDUP,mOUP,w-1-oxo,0,0
548,iDUP,mCDP,w-COOH,0,0
549,NTP,mNP,mono,0,0
550,NTP,mHNP,w-1-OH,0,0
551,NTP,mONP,w-1-oxo,0,0
552,NTP,m8COP,w-COOH,0,0
553,NTP,mCPP,w-ab,0,0
554,NTP,mTDP,mono,0,0
555,NTP,mHTDP,w-1-OH,0,0
556,NTP,mOTDP,w-1-oxo,0,0
557,NTP,107CMP,w-COOH,0,0
558,iNiTP,miNP,mono,0,0
559,iNiTP,mHiNP,w-1-OH,0,0
560,iNiTP,mCiOP,w-COOH,0,0
561,iNiTP,mCPP,w-ab,0,0
562,iNiTP,miTP,mono,0,0
563,iNiTP,mHiTP,w-1-OH,0,0
564,iNiTP,121CMP,w-COOH,0,0
565,DiUP,miUP,mono,0,0
566,DiUP,mHiUP,w-1-OH,0,0
567,DiUP,109CMP,w-COOH,0,0
568,DiUP,mCPP,w-ab,1,0.188229442
569,DeUP,mDP,mono,0,0
570,DeUP,m9PHHP,w-1-OH,0,0
571,DeUP,m9POHP,w-1-oxo,0,0
572,DeUP,mPHHP,mOH,0,0
573,DeUP,m1POHP,moxo,0,0
574,DeUP,mCNP,w-COOH,0,0
575,DeUP,mCPP,w-ab,0,0
576,DeUP,mUP,mono,0,0
577,DeUP,mHUP,w-1-OH,0,0
578,DeUP,mOUP,w-1-oxo,0,0
579,DeUP,mCDP,w-COOH,0,0
580,BTNP,mTNP,mono,0,0
581,BTNP,mHTNP,w-1-OH,0,0
582,BTNP,111CMP,w-COOH,0,0
583,BTNP,mCPP,w-ab,0,0
584,iUUP,miUP,mono,0,0
585,iUUP,mHiUP,w-1-OH,0,0
586,iUUP,109CMP,w-COOH,0,0
587,iUUP,mCPP,w-ab,0,0
588,iUUP,mUP,mono,0,0
589,iUUP,mHUP,w-1-OH,0,0
590,iUUP,mOUP,w-1-oxo,0,0
591,iUUP,mCDP,w-ab,0,0
592,iTNP,miTP,mono,0,0
593,iTNP,mHiTP,w-1-OH,0,0
594,iTNP,121CMP,w-COOH,0,0
595,iTNP,mCPP,w-ab,0,0
596,iTNP,mNP,mono,0,0
597,iTNP,mHNP,w-1-OH,0,0
598,iTNP,mONP,w-1-oxo,0,0
599,iTNP,m8COP,w-COOH,0,0
600,DUP,mUP,mono,1,0.151724338
601,DUP,mHUP,w-1-OH,1,0.151724338
602,DUP,mOUP,w-1-oxo,1,0.151724338
603,DUP,mCDP,w-COOH,1,0.151724338
604,DUP,mCPP,w-ab,1,0.151724338
605,iDiTP,miDP,mono,0,0
606,iDiTP,mHiDP,w-1-OH,0,0
607,iDiTP,mCiNP,w-COOH,0,0
608,iDiTP,mCPP,w-ab,0,0
609,iDiTP,miTP,mono,0,0
610,iDiTP,mHiTP,w-1-OH,0,0
611,iDiTP,121CMP,w-COOH,0,0
612,iDTP,miDP,mono,0,0
613,iDTP,mHiDP,w-1-OH,0,0
614,iDTP,mCiNP,w-COOH,0,0
615,iDTP,mCPP,w-ab,0,0
616,iDTP,mTP,mono,0,0
617,iDTP,mHTP,w-1-OH,0,0
618,iDTP,mOTP,w-1-oxo,0,0
619,iDTP,122CMP,w-COOH,0,0
620,DeiTP,mDP,mono,0,0
621,DeiTP,m9PHHP,w-1-OH,0,0
622,DeiTP,m9POHP,w-1-oxo,0,0
623,DeiTP,mPHHP,mOH,0,0
624,DeiTP,m1POHP,moxo,0,0
625,DeiTP,mCNP,w-COOH,0,0
626,DeiTP,mCPP,w-ab,0,0
627,DeiTP,miTP,mono,0,0
628,DeiTP,mHiTP,w-1-OH,0,0
629,DeiTP,121CMP,w-COOH,0,0
630,iTiUP,miTP,mono,0,0
631,iTiUP,mHiTP,w-1-OH,0,0
632,iTiUP,121CMP,w-COOH,0,0
